Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
vetquest_toc_daryl_name,Quest,Quest Info,,,"Veteran quest to obtain Daryl's Zombie-Killer Crossbow",,"Veteranen quest für Daryls zombie Killer crossbow","Veteran quest para obter o crossbow de Daryl's zombie-bow","Veteran Quête pour obtenir l'arbalète zombie-tueur de Daryl","Veteran quest per ottenere il crossbow killer - killer di Daryl","「ヴェット、ダリルのゾンビ殺しのクロスボウを得るために」","Veteran 데릴의 좀비 킬러 크로스보우를 얻기 위한 탐험","Veteran quest, aby uzyskać kuszy zombie Daryl-killer","Veteran quest para obter o crossbow de Daryl's zombie-bow","Ветеринар. Квест, чтобы получить арбалет' зомби-убийца 'Дэрил","Veteriner, Daryl 'ın zombi katilini ele alma arayışıdır.","Veteran quest 索取 Daryl的 zombie - 杀手十字弓","Veteran 尋求獲得達里爾的殭屍殺手十字弓","Veteran busca obtener el crossbow zombie-killer de Daryl"
vetquest_toc_daryl_subtitle,Quest,Quest Info,,,"Obtain Daryl's Zombie-Killer Crossbow",,"Erhalte Daryls zombie Killer crossbow","Obter o Daryl's zombie-killer crossbow","Obtenir l'arbalète zombie-tueur de Daryl","Ottenere il crossbow killer - killer di Daryl","ダリルのゾンビ・キラー・クロスボウを取得","데릴의 좀비 킬러 석궁을 얻다","Uzyskaj kuszy zombie Daryl-killer","Obter o Daryl's zombie-killer crossbow","Получите арбалет зомби-зомби Дэрил","Daryl 'ın zombi katilini alın.","获得达里尔的僵尸杀手","得到達里爾的殭屍殺手十字弓","Obtener el crossbow de zombie-killer de Daryl"
vetquest_toc_daryl_description,Quest,Quest Info,,,"Gather 400 wood, 2 bow parts, craft 20 primitive bows to obtain Daryl's zombie-killer crossbow.",,"Sammle 400 Holz - 2 Bögenbauteile und stelle 20 Primitive Bögen her um Daryl Killer-Crossbow zu erhalten","Reúna 400 de madeira, 2 partes de arco, artesanato 20 botos primitivos para obter o crossbow de Daryl's zombie.","Rassembler 400 bois, 2 parties de proue, 20 arcs primitifs pour obtenir l'arbalète zombie-tueur de Daryl.","Raccogliere 400 legno, 2 parti di arco, imbarcazioni da 20 primitivi per ottenere la balestra zombie - killer di Daryl'.","ダリルのゾンビ殺しのクロスボウを得るために、 400 本の木、 2 つの弓のパーツ、 20 の原始の弓をクラフトします","400개의 나무, 2개의 보우 부분, 20개의 원시적 활을 모아서 데릴의 좀비 킬러 석궁을 얻는다.","Zebrać 400 drewna, 2 części dziobowe, rzemiełkę 20 prymitywnych miseczek, aby uzyskać kuszy zombie Daryl-zabójcy.","Reúna 400 de madeira, 2 partes de arco, artesanato 20 botos primitivos para obter o crossbow de Daryl's zombie.","Соберись 400 деревянных, 2 носовых частей, 20 примитивных луков, чтобы получить арбалет из зомби-зомби'.","400 odun topla, 2 papyon parçası, 20. ilkel yaylar, Daryl 'ın zombi katilini ele almak için.","收集 400 木， 2 弓部分，手工艺 20 原始弓，以获得达里尔的僵尸杀手十字弓。","收集 400 木， 2 個弓部件，工藝 20 個原始弓，以獲得達里爾的殭屍殺手十字弓。","Reunir 400 madera, 2 partes de proa, naves de 20 arcos primitivos para obtener el crossbow zombie-killer de Daryl."
vetquest_toc_daryl_offer,Quest,Quest Info,,,"The trader is having problems outfitting survivors with bows. If you can provide bows and enough wood for their bow-making class, they will provide you with a replica of Daryl's famous zombie-killer crossbow in exchange for your assistance. Gather 400 wood, 2 bow parts, craft 20 primitive bows",,"Der Händler hat Probleme die Überlebenden mit Bögen auszustatten. Bringe ihm die benötigten Ressourcen und erhalte Daryls Bögen","O comerciante está tendo problemas em superar sobreviventes com arcos. Se você puder fornecer arcos e madeira suficiente para sua classe de fazer arco, eles lhe fornecerão uma réplica do famoso crossbow killer de Daryl em troca de sua assistência. Junte 400 madeira, 2 partes de arco, artesanato 20 botos primitivos","Le trader a des difficultés à équiper les survivants avec des arcs. Si vous pouvez fournir des arcs et suffisamment de bois pour leur classe d'archet, ils vous fourniront une réplique du célèbre arbalète zombie-tueur de Daryl en échange de votre aide. Rassembler 400 bois, 2 parties de proue, bateaux 20 arcs primitifs","Il commerciante sta avendo problemi di allestimento dei sopravvissuti con i fiocchi. Se potete fornire archi e abbastanza legno per la loro classe di prua, vi forniranno una replica della famosa balestra zombie - killer di Daryl in cambio della vostra assistenza. Raccogli 400 legno, 2 parti di arco, imbarcazioni da 20 primitivi","同トレーダーは、「このトレーダーは、牛の生存者には問題がない。 弓作りのクラスに弓と木材を供給できるなら彼らはダリルの有名なゾンビキラークロスボウのレプリカを提供する見返りにあなたの支援を引き換えに 400 番ウッド、 2 つの弓のパーツ、 20 種の原始の弓を作ります」","한 트레이더는 '트레이더들이 생존자들을 앞서나가는 데 문제가 있다' 고 말했다. 활을 만드는 클래스를 위해 활과 충분한 나무를 제공할 수 있다면, 그들은 당신의 도움을 받는 대가로 데릴의 유명한 좀비 살인자 석궁의 모형을 제공할 것입니다. 제400목재, 2보우 부품, 공예 20개의 원시인","Handlowiec ma problemy z wyposażyniem ocalałych z łukami. Jeśli możesz dostarczyć łuki i wystarczająco dużo drewna dla swojej klasy łuku, one zapewnią Ci replikę słynnego kuszy zombie Daryl-killer w zamian za pomoc. Zebrać 400 drewna, 2 części łuku, craft 20 prymitywnych łuków","O comerciante está tendo problemas em superar sobreviventes com arcos. Se você puder fornecer arcos e madeira suficiente para sua classe de fazer arco, eles lhe fornecerão uma réplica do famoso crossbow killer de Daryl em troca de sua assistência. Junte 400 madeira, 2 partes de arco, artesanato 20 botos primitivos","У трейдера есть проблемы, связанные с укладом выживших с луками. Если вы можете предоставить луки и достаточную древесину для своего классового класса, они предоставят вам реплику знаменитого арбалета о зомби-убийце Дэрила в обмен на вашу помощь. Собрать 400 деревянных, 2 носовых деталей, ремесло 20 примитивных луков","Tüccar, hayatta kalanlara boyun eğdirmek konusunda sorunlar yaşıyor. Eğer yay yapma dersi için eğil ve eğil sağlayabilirsek, size Daryl 'in ünlü zombi katili arbasının bir kopyasını yardımınıza karşılık vereceklerdir. 400 odun topla, 2 papyon parçası, 20. ilkel yaylar","他说 : ' 这名交易员的问题是，那些有弓箭的生还者。 如果你能为他们的鞠躬班提供弓和足够的木材，他们将为你提供达里尔着名的僵尸杀手弩张的复制品，换取你的帮助。 收集 400 木， 2 弓部分，手工艺 20 原始弓","交易員遇到船頭倖存者的問題 ' 。 如果你能為他們的弓箭課提供弓箭和足夠的木材，他們將為你提供達里爾著名的殭屍殺手十字弓的複製品，以換取您的協助。 收集 400 木， 2 個弓部件，工藝 20 個原始弓","El comerciante está teniendo problemas para equipar a los sobrevivientes con arcos. Si usted puede proporcionar arcos y suficiente madera para su clase de proa, le proporcionará una réplica del famoso crossbow zombie-killer de Daryl a cambio de su ayuda. Reunir 400 madera, 2 partes de arco, naves de 20 arcos primitivos"
vetquest_toc_daryl_statement,Quest,Quest Info,,,"Help your community's bow-making class and receive a mass-produced zombie-killer crossbow with the brand Daryl stamped on it.",,"Hilf deiner Gemeinschaft und erhalte im Gegenzug einen stärkeren Bogen - Daryls Bogen!","Ajude a sua classe de fazer arco e receba um crossbow de zumbi produzido em massa com a marca Daryl estampada nele.","Aidez votre communauté à faire de la proue et à recevoir un arbalète zombie-tueur de masse avec la marque Daryl qui y est apposée.","Aiutare la classe di bow - making della tua comunità e ricevere un balestra di zombie - killer - killer con il marchio Daryl stampata su di esso'.","「あなたのコミュニティーの弓作りのクラスを支援し、大量生産されたゾンビキラークロスボウを、ブランドのダリル・スタンプ付きで受信します。","커뮤니티의 활 만들기 수업을 도와주시고, 브랜드 데릴과 함께 대량 생산된 좀비 킬러 크로스보우를 받아 보세요.","Pomóż swojej wspólnotowej klasie łuku i otrzymać masowo produkowanego zombie-killer crossbow z marką Daryl ostemplowane na nim.","Ajude a sua classe de fazer arco e receba um crossbow de zumbi produzido em massa com a marca Daryl estampada nele.","Помогите классовому классу вашего сообщества и получите массовый арбалет зомби-убийцы с маркой Daryl.","Topluluğunuzun yayın kuruna yardım edin ve Daryl damgalıyla, toplu olarak üretilmiş bir zombi katili kavşağı alın.","帮助您的社区的鞠躬班，并获得一个量产的 zombie - 杀手弩张，上面印有品牌 Daryl 。","「幫助你的社群的屈臣階級，並接受一個被大量生產的殭屍殺手十字弓，加上達里爾在它上刻上的記號。」","Ayuda a la clase de proa de tu comunidad y recibe un crossbow de zombie-killer producido en masa con la marca Daryl estampada en ella'."
vetquest_toc_daryl_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Daryl's Zombie-Killer Crossbow",,"White River - Werkzeuge der Gemeinschaft - quest Daryls Killer-Crossbow","Rio Branco-ferramentas de cidadania, quest for Daryl's zombie-killer crossbow","White River-tools of citoyenneté, quest for Daryl's zombie-killer crossbow","White River - strumenti di cittadinanza, quest per il crossbow killer - killer di Daryl","「白の川 - 市民権のツール、ダリルのゾンビ殺しのクロスボウを探さないと」","시민권의 화이트 강 도구, 데릴의 좀비 킬러 석궁에 대한 탐구","Biała Rzeka-narzędzia obywatelskie, poszukiwanie kuszy zombie-zombie Daryl","Rio Branco-ferramentas de cidadania, quest for Daryl's zombie-killer crossbow","Белая река-инструменты гражданства, квест для зомби-убийцы Дэрила","Beyaz nehir, vatandaşlık araçları, Daryl 'ın zombi katili arsasını bulma","白河 - 公民权工具，追求达里尔的僵尸-杀手十字弓","「白河 - 具公民身份的工具，尋找達里爾的殭屍殺手十字弓」","White River-tools of citizenship, quest for Daryl's zombie-killer crossbow"
vetquestdialog_toc_daryl,Quest,Dialogs,,,"Obtain a Daryl's Zombie-Killer Crossbow by gathering all 400 wood, 2 bow parts, craft 20 primitive bows",,"Erhalte Daryls Killer-Crossbow.","Obter um crossbow de Daryl's zombie crossbow ao reunir todas as 400 de madeira, 2 partes de arco, craft 20 botos primitivos","Obtenir un arbalète zombie-tueur de Daryl en rassemblant les 400 bois, les 2 parties de proue, l'artisanat 20 arcs primitifs","Ottenere un balestra zombie - killer di Daryl raccogliendo tutti e 400 il legno, 2 parti di arco, imbarcazioni da 20 primitivi","「 400 本の木、 2 つの弓のパーツ、 20 種の原始弓を作り、ダリルのゾンビ・キラー・クロスボウを入手する」","데릴의 좀비 킬러 석궁을 400개의 나무와 2개의 뱃지를 모아서 20개의 원시적인 활을 얻는다.","Uzyskaj kuszy zombie Daryl-zabójcy, zbierając wszystkie 400 drewna, 2 części dziobowe, rzemiełkę 20 prymitywnych łuków","Obter um crossbow de Daryl's zombie crossbow ao reunir todas as 400 de madeira, 2 partes de arco, craft 20 botos primitivos","Получите арбалет зомби-зомби Дэрил, собрав все 400 деревянных, 2 носовых деталей, 20 примитивных луков","Bir Daryl 'ın zombi katilini elde edin. 400 tahta, 2 yay parçası, 20. ilkel yayları toplayarak.","通过收集所有 400 木， 2 弓部分，手工艺 20 原始弓，获得达里尔的僵尸杀手十字弓","「取得達里爾的殭屍殺手交叉弓，收集所有 400 塊木材， 2 個弓部，工藝 20 個原始弓」","Obtener un ballesta zombie-killer de Daryl reuniendo toda la madera de 400, 2 partes de arco, naves de 20 arcos primitivos"
vetquestreward_toc_daryl_name,Quest,Quest Info,,,"Veteran Reward of Daryl's Zombie-Killer Crossbow",,"Veteranen Belohnung für Daryls zombie-killer crossbow","Veterana recompensa do Daryl's zombie-killer crossbow","Récompensé par un vétéran de l'arbalète zombie-tueur de Daryl","Veteran ricompensa di Daryl's zombie - killer crossbow","「ダリルのゾンビ殺しのクロスボウに対するベテランのご褒美」","데릴의 좀비 킬러 석궁의 베테랑 보상","Nagroda Weterana Darylowa zombie-zabójca kuszy","Veterana recompensa do Daryl's zombie-killer crossbow","Ветеран награда зомби-убийцы Дэрила","Daryl 'ın zombi katili yayının gazisi ödülü.","老牌回报达里尔的僵尸杀手","「老兵獎勵達里爾的殭屍殺手十字弓」","Recompensa veterana del crossbow zombie-killer de Daryl"
vetquestreward_toc_daryl_subtitle,Quest,Quest Info,,,"Veteran Reward of Daryl's Zombie-Killer Crossbow",,"Veteranen Belohnung für Daryls zombie-killer crossbow","Veterana recompensa do Daryl's zombie-killer crossbow","Récompensé par un vétéran de l'arbalète zombie-tueur de Daryl","Veteran ricompensa di Daryl's zombie - killer crossbow","「ダリルのゾンビ殺しのクロスボウに対するベテランのご褒美」","데릴의 좀비 킬러 석궁의 베테랑 보상","Nagroda Weterana Darylowa zombie-zabójca kuszy","Veterana recompensa do Daryl's zombie-killer crossbow","Ветеран награда зомби-убийцы Дэрила","Daryl 'ın zombi katili yayının gazisi ödülü.","老牌回报达里尔的僵尸杀手","「老兵獎勵達里爾的殭屍殺手十字弓」","Recompensa veterana del crossbow zombie-killer de Daryl"
vetquestreward_toc_daryl_description,Quest,Quest Info,,,"Return to the trader to collect your Daryl's Zombie-Killer Crossbow.",,"Gehe zurück zum Händler um Daryls Killer-Crossbow zu erhalten","Retorne ao comerciante para coletar seu crossbow de Daryl's zombie.","Retournez à l'opérateur pour récupérer l'arbalète zombie zombie de votre Daryl.","Torna al commerciante per raccogliere la tua balestra zombie - killer di Daryl'.","「トレーダーに戻ってダリルのゾンビ殺しのクロスボウを集めてるんだ」","거래자에게 돌아가서 데릴의 좀비 살인자 석궁을 수집하라.","Powrót do handlowca, aby zebrać kuszy z zabójcą zombie twojego Darilla.","Retorne ao comerciante para coletar seu crossbow de Daryl's zombie.","Вернитесь к торговцу, чтобы забрать арбалет с зомби-убийцей вашего Дэрила'.","Daryl 'ın zombi katili arbasını toplamak için tacirlere geri dönün.","回到商人那里去收集你达里尔的僵尸杀手","「回到商人去收集你的達里爾的殭屍殺手十字弓。」","Regrese al comerciante para recoger el crossbow de su Daryl-killer-killer'."
