Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_toc_leon_name,Quest,Quest Info,,,"Pay-it-forward to obtain Leon's Modded SMG",,,,,,,,,,,,,,
quest_toc_leon_subtitle,Quest,Quest Info,,,"Craft the +Writ Of Leon by gathering 2 pistols",,,,,,,,,,,,,,
quest_toc_leon_description,Quest,Quest Info,,,"Gather 2 pistols to receive one of Leon's SMGs.",,,,,,,,,,,,,,
quest_toc_leon_offer,Quest,Quest Info,,,"There is a crate of modded 9mm weapons at the trader that a guy named Leon left behind and hasn't come back for in a long time. You can have one of these weapons if you can help the settlement restock its inventory of pistols. Some pistols for a modded SMG? Seems like a good deal.\n\nGather 2 pistols",,,,,,,,,,,,,,
quest_toc_leon_statement,Quest,Quest Info,,,"Help your community and receive one of Leon's SMGs",,,,,,,,,,,,,,
quest_toc_leon_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Leon's Degraded SMG",,,,,,,,,,,,,,
questdialog_toc_leon,Quest,Dialogs,,,"Obtain a Leon's SMG by gathering 2 pistols",,,,,,,,,,,,,,
questreward_toc_leon_name,Quest,Quest Info,,,"Reward of Leon's Degraded SMG",,,,,,,,,,,,,,
questreward_toc_leon_subtitle,Quest,Quest Info,,,"Collect your Reward of Leon's SMG",,,,,,,,,,,,,,
questreward_toc_leon_description,Quest,Quest Info,,,"Return to the trader to receive one of Leon's SMGs.",,,,,,,,,,,,,,
questreward_toc_leon_offer,Quest,Quest Info,,,"Obtain one of Leon's SMGs from the trader in exchange for your pistols.",,,,,,,,,,,,,,
questreward_toc_leon_statement,Quest,Quest Info,,,"Help your community and receive Leon's famous SMGs.",,,,,,,,,,,,,,
questrewarddialog_toc_leon,Quest,Dialogs,,,"Collect your Leon's SMG by returning to the trader.",,,,,,,,,,,,,,
quest_toc_repairleon_name,Quest,Quest Info,,,"Fix up Leon's Degraded SMG",,,,,,,,,,,,,,
quest_toc_repairleon_subtitle,Quest,Quest Info,,,"Collect Parts to Fix SMG",,,,,,,,,,,,,,
quest_toc_repairleon_desc,Quest,Quest Info,,,"Gather 10 mechanical parts + 5 spring to fix Leon's SMG.",,,,,,,,,,,,,,
quest_toc_repairleon_offer,Quest,Quest Info,,,"Leon's SMG is quite the fixer-upper. The trader offered to help you repair this hunk of junk, but first you are going to need some spare parts. Gather 10 mechanical parts + 5 spring",,,,,,,,,,,,,,
quest_toc_repairleon_statement,Quest,Quest Info,,,"Repair your Leon's degraded SMG with 10 mechanical parts and 5 springs.",,,,,,,,,,,,,,
quest_toc_repairleon_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Leon's Repaired SMG",,,,,,,,,,,,,,
questdialog_toc_repairleon,Quest,Dialogs,,,"Repair your Leon's SMG by gathering 5 springs and 10 mechanical parts",,,,,,,,,,,,,,
questreward_toc_repairleon_name,Quest,Quest Info,,,"Reward of Leon's Modded SMG",,,,,,,,,,,,,,
questreward_toc_repairleon_subtitle,Quest,Quest Info,,,"Reward of Leon's Modded SMG",,,,,,,,,,,,,,
questreward_toc_repairleon_desc,Quest,Quest Info,,,"Return to the trader for assistance in fixing Leon's degraded SMG.",,,,,,,,,,,,,,
questreward_toc_repairleon_offer,Quest,Quest Info,,,"Return to the trader with the spare parts for assistance repairing your Leon's degraded SMG.",,,,,,,,,,,,,,
questreward_toc_repairleon_statement,Quest,Quest Info,,,"Help your community and receive Leon's famous SMGs.",,,,,,,,,,,,,,
questrewarddialog_toc_repairleon,Quest,Dialogs,,,"Obtain a repaired Leon's SMG by gathering 5 springs and 10 mechanical parts",,,,,,,,,,,,,,
