Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
questblock_toc_glassNonFuzzyBulletproofBlockVariantHelper,blocks,block,,,"Molino Bulletproof Glass Block",,"Kugelsicheres Glasblock Mühle","Bloque de vidrio a prueba de balas Molino","Bloc de verre pare-balles Moulin","Blocco di vetro antiproiettile Mulino","防弾ガラスブロック","문직한 바짝 유리 블록","Lekka, nietłukąca się płytka szklana młyn","Bloco de vidro à prova de balas Moinho","Прочный стеклянный блок мельницы","Mermi geçirmez cam blok","防弹玻璃砖块","防彈玻璃磚塊","Bloque de cristal a prueba de balas Molino"
questblock_toc_glassNonFuzzyBulletproofCTRPlate,blocks,block,,,"Molino bulletproof glass plate centered",,"Panzerbrettglas der Mühle","Placa de vidrio antibalas del molino","Plaque de verre pare-balles du moulin","Piastra in vetro blindato del mulino","弾丸証明ガラス板ミル","몰리노 벌렌 글래스 호물 쉬임","Szklana płyta pancerna młyna","Placa de vidro à prova de balas do moinho","Бронированное стекло мельницы","Değirmenin kurşun geçirmez cam tabakası","磨坊防弹玻璃板","磨坊防彈玻璃板","Placa de vidrio a prueba de balas del molino"
questblock_toc_glassNonFuzzyBulletproofPlate,blocks,block,,,"Molino bulletproof glass plate",,"Schusssichere Glasplatte","Placa de vidrio a prueba de balas resistente","Plaque en verre pare-balles résistante","Piastra di vetro antiproiettile resistente","防弾ガラスパネル","몰리노 벌렌 금애 플레이트","Solidna szklana płyta kuloodporna","Placa de vidro à prova de balas resistente","Прочная бронзовая стеклянная пластина","Kurşun geçirmez cam levha","防弹玻璃板","防彈玻璃板","Placa de vidrio antibalas resistente"
questblock_toc_glassNonFuzzyBulletproofBlock,blocks,block,,,"Molino bulletproof glass block",,"Mühle kugelsicherer Glasblock","Molino bloque de vidrio a prueba de balas","Moulin bloc de verre pare-balles","Mulino blocco di vetro antiproiettile","ミル防弾ガラスブロック","몰리노 방탄유리 블록","Młyn szkło pancerny blok","Moinho bloco de vidro à prova de bala","Мельница бронестекло блок","Değirmen kurşungeçirmez cam blok","磨坊防弹玻璃街区","磨坊防彈玻璃街區","Molino bloque de vidrio blindado"
questblock_toc_glassNonFuzzyBulletproofRamp,blocks,block,,,"Molino bulletproof glass ramp",,"Mühlenpanzerglasrampe","Rampa de vidrio blindado del molino","Rampe en verre blindé du moulin","Rampa in vetro antiproiettile del mulino","ãƒŸãƒ¥ãƒªãƒŽ ãƒ–ãƒ¬ãƒƒãƒˆ é˜²å¼¾ã‚¬ãƒ©ã‚¹ã®ãƒ©ãƒ³ãƒ—","ì§ë¤ë˄ ë§ë ˆëŸ¬ ê°€í•©","Młyn szkło kuglarz opancerzony","Rampa de vidro à prova de balas do moinho","ÐœÐ¸Ð»Ð»ÑŒÐ¾Ð½ Ð±Ñ€Ð¾Ð½ÐµÐ±ÐµÐ·Ð¾Ð¿Ð°ÑÐ½Ð¾Ðµ ÑÑ‚ÐµÐºÐ»Ð¾","Firin makineli cami rampasi","é‡‘ç‰Œé€ƒç”ŸçŽ»ç’ƒå¡é“","é‡‘ç‰Œé€ƒç”ŸçŽ»ç’ƒå¡é“","Rampa de vidrio a prueba de balas del molino"
questblock_toc_glassNonFuzzyBulletproofPlateCurved,blocks,block,,,"Molino bulletproof glass curved plate",,"Mühle ballistische Glas gebogene Platte","Molino vidrio blindado placa curva","Moulin verre pare-balles plaque incurvée","Mulino vetro blindato piastra curva","ミル弾丸ボール紙を弾む","몰리노 방탄 유리 곡면 판","Młyn pancerna szklana krzywizna płyta","Moinho vidro blindado placa curva","Мельница бронестекло изогнутая пластина","Değirmen kurşun geçirmez cam kavisli levha","磨坊防弹玻璃曲面板","磨坊防彈玻璃曲面板","Molino vidrio antibalas placa curva"
questblock_toc_bulletproofGlassGroup_desc,blocks,Block,,,"Molino's super-clear bulletproof glass can be repaired with broken glass to maintain the White River community member's safety from 'them'. Regardless of the apocalypse, you can always have clear shiny strong windows.",,"Molinos superklarer schusssicherer Glas kann mit zerbrochenem Glas repariert werden, um die Sicherheit der Mitglieder der White River-Gemeinschaft vor 'ihnen' zu gewährleisten. Unabhängig von der Apokalypse können Sie immer klare, glänzende und starke Fenster haben.","El vidrio antibalas súper transparente de Molino se puede reparar con vidrio roto para mantener la seguridad de los miembros de la comunidad de White River. Independientemente del apocalipsis, siempre puedes tener ventanas claras, brillantes y fuertes.","Le verre pare-balles super clair de Molino peut être réparé avec du verre cassé pour maintenir la sécurité des membres de la communauté de White River contre 'eux'. Peu importe l'apocalypse, vous pouvez toujours avoir des fenêtres claires, brillantes et solides.","Il vetro antiproiettile super trasparente di Molino può essere riparato con il vetro rotto per mantenere la sicurezza dei membri della comunità di White River da 'loro'. Indipendentemente dall'apocalisse, puoi sempre avere finestre chiare, lucide e resistenti.","Molinoの超クリア防弾ガラスは、壊れたガラスで修理して白い川のコミュニティメンバーの安全性を維持することができます。黙示録に関係なく、いつでもクリアで光沢のある強力な窓を持つことができます。","Molino's super-clear bulletproof glass can be repaired with broken glass to maintain the White River community member's safety from 'them'. Regardless of the apocalypse, you can always have clear shiny strong windows.","Superprzezroczyste szkło kuloodporne Molino można naprawić stłuczonym szkłem, aby zapewnić bezpieczeństwo członkom społeczności White River przed 'nimi'. Bez względu na apokalipsę, zawsze możesz mieć czyste, lśniące i mocne okna.","O vidro à prova de balas super claro da Molino pode ser reparado com vidro quebrado para manter a segurança dos membros da comunidade do Rio Branco de 'eles'. Independentemente do apocalipse, você sempre pode ter janelas claras, brilhantes e fortes.","Суперпрозрачное бронестекло Molino можно отремонтировать с помощью сломанного стекла, чтобы обеспечить безопасность членов сообщества Белой реки от 'них'. Независимо от апокалипсиса, у вас всегда может быть ясные, сияющие и крепкие окна.","Molino'nun süper berrak kurşun geçirmez camı, 'onlardan' Beyaz Nehir topluluğu üyelerinin güvenliğini korumak için kırık camla onarılabilir. Kıyametin kopması ile ilgisiz olarak, her zaman temiz parlak güçlü pencerelere sahip olabilirsiniz.","Molino的超清晰防弹玻璃可以用碎玻璃维修，以维护白河社区成员免受“他们”的侵害。无论有否末日，您总是可以拥有清澈明亮的坚固窗户。","Molino的超清晰防彈玻璃可以用碎玻璃維修，以維護白河社區成員遠離「他們」的危險。無論是天災，您總是可以擁有清晰光亮的強健窗戶。","El vidrio a prueba de balas súper transparente de Molino se puede reparar con cristales rotos para mantener la seguridad de los miembros de la comunidad de White River. Independientemente del apocalipsis, siempre puedes tener ventanas fuertes, brillantes y transparentes."
vetquest_toc_glassNonFuzzyBulletproofBlockVariantHelper_name,Quest,Quest Info,,,"+Veteran Quest For Molino Bulletproof Glass",,"+Veteranensuche nach Molino Panzerglas","+Búsqueda de veterano por vidrio a prueba de balas en Molino","+Quête de vétéran pour le verre pare-balles de Molino","+Ricerca veterana per vetro antiproiettile a Molino","+モリノ防弾ガラスへのベテランクエスト","+베테랑 모리노 방탄 유리를 위한 퀘스트","+Weterańska misja w poszukiwaniu kuloodpornego szkła w Mollino","+Busca veterana por vidro à prova de balas em Molino","+Ветеранский поиск бронированного стекла Молино","+Molino Kurşun Geçirmez Cam İçin Gazi Görevi","+磨利诺防弹玻璃的退伍老兵任务","+摩利諾防彈玻璃的老兵任務","+Búsqueda veterana de vidrio a prueba de balas en Molino"
vetquest_toc_glassNonFuzzyBulletproofBlockVariantHelper_subtitle,Quest,Quest Info,,,"Obtain a stack of Molino bulletproof glass by gathering 50 regular bulletproof glass",,"Hol dir einen Stapel Molino-Schutzglas, indem du 50 reguläres Schutzglas sammelst.","Obtenga una pila de vidrio a prueba de balas Molino reuniendo 50 vidrios a prueba de balas regulares.","Obtenez un empilement de verre pare-balles Molino en rassemblant 50 verres pare-balles réguliers.","Ottieni uno stack di vetro antiproiettile Molino raccogliendo 50 vetri antiproiettile regolari.","50個のレギュラのスタックを集合してMolinoの日本語の翻訳を取得してください。","50번 인장 문을 아줌 스크루 썰리부트를 만드일 경우, Molino 상수 스크루 썰리부트 다이어 진출하여 유혹햁을 드릴 수 있습니다.","Otrzymaj stos szkła kuloodpornego Molino, zbierając 50 zwykłych szkło kuloodpornego.","Obtenha uma pilha de vidro à prova de balas Molino reunindo 50 vidros à prova de balas regulares.","Получите стакан молоток Molino, собрав 50 обычных стекла с повышенной прочностью.","50 düzeni koruyucu cam toplarak Molino kurşun geçirmez cam yığını elde edin.","通过雀乘场“50”个普通玄铂及获取 Molino 普通玻瑰14块玻奇场","這裡是中文翻译","Obtenga una pila de cristal a prueba de balas Molino reuniendo 50 cristales a prueba de balas regulares."
vetquest_toc_glassNonFuzzyBulletproofBlockVariantHelper_description,Quest,Quest Info,,,"Gather 50 regular bulletproof glass to receive a stack of Molino bulletproof glass.",,"Sammle 50 normale kugelsichere Glasplatten, um einen Stapel Molino kugelsicheres Glas zu erhalten.","Reúne 50 vidrios antibalas regulares para recibir un montón de vidrio antibalas Molino.","Rassemblez 50 verres pare-balles réguliers pour recevoir un tas de verre pare-balles Molino.","Raccogli 50 vetri antibalistici regolari per ricevere uno stack di vetro antibalistico Molino.","50個の通常の防弾ガラスを集め、モリーノ防弾ガラスのスタックを受け取ります。","50개의 일반 방탕 유리를 모아 몰리노 방탕 유리 한 묶음을 받으세요.","Zebraj 50 zwykłych kuloodpornych szyb, aby otrzymać stos szklanych kulek Molino.","Reúna 50 vidros à prova de balas regulares para receber um monte de vidro à prova de balas do Molino.","Соберите 50 обычных бронестеклянных и получите стопку бронестекла Molino.","50 adet düzgün kurşun geçirmez camı bir araya getirerek Molino kurşun geçirmez cam birimi alın.","收集50个普通防弹玻璃，以获得一叠莫里诺防弹玻璃。","收集50個普通防彈玻璃，以獲得一疊莫里諾防彈玻璃。","Reúne 50 vidrios antibalas regulares para recibir un montón de vidrio antibalas Molino."
vetquest_toc_glassNonFuzzyBulletproofBlockVariantHelper_offer,Quest,Quest Info,,,"The White River community is in desperate need of standard bulletproof glass. Help provide to your community and in return receive a small stack of specialized super-clear Molino bulletproof glass. Gather 50 regular bulletproof glass.",,"Die Gemeinde White River braucht dringend standardmäßiges schusssicheres Glas. Helfen Sie Ihrer Gemeinde und erhalten Sie im Gegenzug eine kleine Menge spezialisiertes superklares Molino- Schusssicherglas. Sammeln Sie 50 reguläre schusssichere Glasscheiben.","La comunidad del Río Blanco necesita desesperadamente vidrio antibalas estándar. Ayuda a proporcionar a tu comunidad y a cambio recibe una pequeña pila de vidrio antibalas súper claro especializado Molino. Reúne 50 vidrios antibalas regulares.","La communauté de White River a désespérément besoin de verre pare-balles standard. Aidez à fournir à votre communauté et en retour, recevez un petit tas de verre pare-balles super clair spécialisé Molino. Rassemblez 50 verres pare-balles réguliers.","La comunità di White River ha disperato bisogno di vetro antiproiettile standard. Aiuta a fornire alla tua comunità e in cambio ricevi una piccola pila di vetro antiproiettile Molino super chiaro e specializzato. Raccogli 50 vetri antiproiettile regolari.","White Riverコミュニティーは、必死に標準の防弾ガラスが必要です。あなたのコミュニティーに提供を手伝い、おかえしに専用の超クリアなMolino防弾ガラスの小さなスタックを受け取ります。レギュラーの防弾ガラス50個を集めてください。","The White River community is in desperate need of standard bulletproof glass. Help provide to your community and in return receive a small stack of specialized super-clear Molino bulletproof glass. Gather 50 regular bulletproof glass.","Społeczność Rzeki Białej desperacko potrzebuje standardowego pancerza. Pomóż swojemu społeczeństwu i w zamian otrzymaj mały stos specjalistycznego super-czystego pancerza Molino. Zbierz 50 zwykłych pancerzy.","A comunidade do Rio Branco está desesperadamente necessitada de vidro antibala padrão. Ajude a fornecer à sua comunidade e, em troca, receba um pequeno monte de vidro antibala super claro especializado Molino. Reúna 50 vidros antibala regulares.","Сообщество Белой Реки нуждается в стандартном бронестекле. Сделайте вклад в свое сообщество и взамен получите небольшой стек специализированного сверхчистого бронестекла Molino. Соберите 50 обычных бронестекол.","White River topluluğu standart kurşun geçirmez camda umutsuzca ihtiyaç içinde. Topluluğunuza yardım edin ve karşılığında özel süper açık Molino kurşun geçirmez camın küçük bir yığını alın. 50 normal kurşun geçirmez cam toplayın.","白河社区迫切需要标准防弹玻璃。帮助提供给您社区，作为回报，您将获得一小堆专业的超清晰Molino防弹玻璃。收集50个常规防弹玻璃。","白河社區迫切需要標準防彈玻璃。幫助提供給您社區，作為回報，您將獲得一小堆專業的超清晰Molino防彈玻璃。收集50個常規防彈玻璃。","La comunidad de White River necesita desesperadamente vidrio antibalas estándar. Ayuda a proporcionar a tu comunidad y a cambio recibe un pequeño montón de vidrio antibalas súper claro especializado Molino. Reúne 50 vidrios antibalas regulares."
vetquest_toc_glassNonFuzzyBulletproofBlockVariantHelper_statement,Quest,Quest Info,,,"Help your community gather a substantial amount of bulletproof glass and receive the recipe to the specialized super-clear Molino bulletproof glass.",,"Helfen Sie Ihrer Gemeinde, eine beträchtliche Menge an ballistischem Glas zu sammeln, und erhalten Sie das Rezept für das spezialisierte superklare Molino ballistische Glas.","Ayuda a tu comunidad a reunir una cantidad sustancial de vidrio antibalas y recibir la receta del especial vidrio antibalas súper claro Molino.","Aidez votre communauté à rassembler une quantité substantielle de verre pare-balles et recevez la recette du verre pare-balles ultra-clair spécialisé Molino.","Aiuta la tua comunità a raccogliere una quantità sostanziale di vetro antiproiettile e ricevi la ricetta per il vetro antiproiettile super trasparente specializzato Molino.","コミュニティが頑丈な防弾ガラスの多量を集め、専門的な特殊超透明Molino防弾ガラスレシピを受け取るのを手伝ってください。","귀하의 커뮤니티가 많은 양의 방탄 유리를 모으고 전문적으로 맑은 Molino 방탄 유리 레시피를 받도록 도와주세요.","Pomóż swojej społeczności zgromadzić znaczną ilość kuloodpornego szkła i otrzymaj przepis na specjalnie przeźroczyste szkło kuloodporne Molino.","Ajude sua comunidade a reunir uma quantidade substancial de vidro à prova de balas e receba a receita do vidro à prova de balas super claro especializado Molino.","Помогите вашему сообществу собрать значительное количество бронестекла и получите рецепт к специализированному сверхпрозрачному бронестеклу Molino.","Topluluğunuzun önemli miktarda kurşun geçirmez cam toplamasına yardımcı olun ve özel süper açık Molino kurşun geçirmez cam tarifini alın.","帮助您的社区收集大量防弹玻璃，并获得专门的超清晰Molino防弹玻璃的配方。","幫助您的社區收集大量防彈玻璃，並獲得專門的超清晰Molino防彈玻璃的食譜。","Ayuda a tu comunidad a reunir una cantidad sustancial de vidrio antibalas y recibir la receta del especial vidrio antibalas súper claro Molino."
vetquest_toc_glassNonFuzzyBulletproofBlockVariantHelper_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Molino Bulletproof Glass",,"Weißer Fluss - Werkzeuge des Bürgerschaft, Kugelsicheres Glas des Mühle","Río Blanco - Herramientas de Ciudadanía, Vidrio a Prueba de Balas del Molino","Rivière Blanche - Outils de Citoyenneté, Verre Blindé Molino","Fiume Bianco - Strumenti di Cittadinanza, Vetro Antiproiettile Molino","ホワイトリバー—市民権のツール、モリーノ防弾ガラス","화이트 리버 - 시민권의 도구, 몰리노 방탄 유리","Biały Rzeka - Narzędzia obywatelstwa, szkło pancernego młyna","Rio Branco - Ferramentas de Cidadania, Vidro à Prova de Balas do Moinho","Белая река - Инструменты гражданства, Бронированное стекло Молино","Beyaz Nehir - Vatandaşlık Araçları, Milli Maket Camı","白河-公民权利的工具，豪猛防弹玻璃","白河-公民權的工具，磨坊防彈玻璃","Río Blanco - Herramientas de Ciudadanía, Cristal Blindado Molino"
vetquestdialog_toc_glassNonFuzzyBulletproofBlockVariantHelper,Quest,Dialogs,,,"Obtain a stack of Molino bulletproof glass by gathering 50 regular bulletproof glass",,"Hol dir einen Stapel Molino-Schutzglas, indem du 50 reguläres Schutzglas sammelst.","Obtenga una pila de vidrio a prueba de balas Molino reuniendo 50 vidrios a prueba de balas regulares.","Obtenez un empilement de verre pare-balles Molino en rassemblant 50 verres pare-balles réguliers.","Ottieni uno stack di vetro antiproiettile Molino raccogliendo 50 vetri antiproiettile regolari.","50個のレギュラのスタックを集合してMolinoの日本語の翻訳を取得してください。","50번 인장 문을 아줌 스크루 썰리부트를 만드일 경우, Molino 상수 스크루 썰리부트 다이어 진출하여 유혹햁을 드릴 수 있습니다.","Otrzymaj stos szkła kuloodpornego Molino, zbierając 50 zwykłych szkło kuloodpornego.","Obtenha uma pilha de vidro à prova de balas Molino reunindo 50 vidros à prova de balas regulares.","Получите стакан молоток Molino, собрав 50 обычных стекла с повышенной прочностью.","50 düzeni koruyucu cam toplarak Molino kurşun geçirmez cam yığını elde edin.","通过雀乘场“50”个普通玄铂及获取 Molino 普通玻瑰14块玻奇场","這裡是中文翻译","Obtenga una pila de cristal a prueba de balas Molino reuniendo 50 cristales a prueba de balas regulares."
